VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V001,CD01,126.0,CD01-C004-C008-C005-C011-C017-C006-C018-CD01,7,15.0-20.0-20.0-17.0-25.0-17.0-12.0,94.648,229.21666666666678,51425.41333333334
V002,CD01,138.0,CD01-C001-C010-C024-C009-C016-C019-C003-C002-C007-C021-CD01,10,13.0-15.0-11.0-20.0-10.0-11.0-12.0-15.0-17.0-14.0,136.768,338.55,74310.61333333334
V008,CD01,113.0,CD01-C015-C022-C013-C012-C020-C023-C014-CD01,7,17.0-18.0-21.0-12.0-15.0-15.0-15.0,75.622,168.36666666666662,41087.95333333334
